RECIPE TITLE,TOTAL COOKING TIME,PREPARATION TIME,COOKING TIME,RECIPE SERVINGS,LEVEL,INGREDIENTS,RECIPE LINK
3-Ingredient Onion Pickle Recipe,10 mins,05 mins,05 mins,2.0,Easy,"['2  Red Onions', '1 cup Warm Water', '1/4 cup White Vinegar', '1 tbsp Salt']",https://food.ndtv.com/recipe-3-ingredient-onion-pickle-955910
3-Ingredient Stuffed Mango Kulfi Recipe,40 mins,10 mins,30 mins,2.0,Easy,"['300 Ml full fat milk', '3-4  mangoes', '2 tbsp sugar', 'Pista or saffron, for garnishing']",https://food.ndtv.com/recipe-3-ingredient-stuffed-mango-kulfi-958145
Aam Ka Achaar Recipe,45 mins,15 mins,30 mins,4.0,Easy,"['2 1/2 Kg mango, chopped', '100 gms fenugreek seeds (methi dana)', '50 gms red pepper (coarsely ground)', '60 gms onion seeds (kalonji)', '100 gms fennel seeds (saunf)', '2 tbsp black peppercorns', '50 gms turmeric powder', '300 gms salt', '1 1/2 l mustard oil']",https://food.ndtv.com/recipe-aam-ka-achaar-1-386944
Aam ki Chutney Recipe,40 mins,10 mins,30 mins,4.0,Easy,"['1 Kg Raw mangoes (peeled), grated', '4 cups Sugar', '3/4 cup Salt', '1/4 cup Chilli powder', '1 tbsp Peppercorns powder', '2  Bay leaves', '1 tsp Asafoetida (Heeng)', '1 tbsp Cloves', 'An airtight sterilised jar']",https://food.ndtv.com/recipe-aam-ki-chutney-mango-chutney-491074
Aamchoori Kareley Recipe,1 hr 10 mins,20 mins,50 mins,4.0,Medium,"['6 pieces Medium Bitter Gourd (Karelay)', '4 pieces medium Onions , sliced', '3 gram Turmeric Powder', '3 gram Red Chilli Powder', 'to taste Salt', '2 tbsp Malt Vinegar', '350 ml Mustard Oil', '1 gram Carom Seeds/Bishops weed', '5 gram Ginger', '1 gram Asafoetida (Mixed in a little water)', '1 tsp Amchoor', '1 tsp Cumin Seed Powder', '1 tsp Red Chilli Powder', '1/2 tsp Saunf', '1/2 tsp Black Pepper Powder', '1/2 tsp Dried Fenugreek Leaf Powder', '1 tsp Lemon Juice']",https://food.ndtv.com/recipe-amchoori-karelay-776223
Aamras Recipe,25 mins,10 mins,15 mins,4.0,Easy,"['4  Mangoes', '1/2 tsp cardamom powder', '1/2 tsp ghee (per serving) (optional)', 'Sugar as per taste']",https://food.ndtv.com/recipe-aamras-847524
Aanarsa Recipe,55 mins,40 mins,15 mins,14.0,Medium,"['2 Cups Rice', '2 cups Jaggey, grated', '2 tsp Ghee + For Deep Frying', '2 tbsp Milk', '2 tbsp Poppy Seeds']",https://food.ndtv.com/recipe-aanarsa-951252
Achaar ka Paratha Recipe,30 mins,10 mins,20 mins,2.0,Easy,"['Masala from mango pickle', '1  green/red chilli, chopped', 'Kneaded dough (atta)', 'Ghee or vegetable oil (to cook the parathas)']",https://food.ndtv.com/recipe-achaar-ka-paratha-275015
Achaari Aloo Recipe,45 mins,15 mins,30 mins,2.0,Medium,"['2 Cups Oil', '10  Aloo (Boiled)', '1 tbsp Oil', '1 cup Onion', '1 tsp Ginger Garlic Paste', '1/2 tsp Turmeric Powder', '1/2 tsp Red Chilli Powder', '1 tsp Achaar Masala', '2 tsp Sugar', '1 tsp Vinegar', '1 cup Water', 'For Tadka:', '2 tbsp Oil', '1/2 tsp Mustard Seeds', '1 tsp Cumin Seeds', '1 tsp Kaloji', '5  Whole Red Chilli']",https://food.ndtv.com/recipe-achaari-aloo-951150
Achaari Lachha Paratha Recipe,25 mins,05 mins,20 mins,2.0,Easy,"['2 Cups atta', '1/2 tsp ajwain', '2 tsp oil', 'Water, for kneading', 'Salt, to taste', '3 tsp coriander seeds', '1 tsp fennel', '1 tsp pepper', '1/2 tsp haldi', '1/2 tsp amchoor powder', '2 dry red chillies', '1/2 tsp methi', '1 tsp cumin', 'Ghee, as required']",https://food.ndtv.com/recipe-achaari-lachha-paratha-958386
